Sample#,Start time,Thread name,Label,SampleTime,Status,Bytes
1161,51:30.9,TC0003_PlannerC 3-17,/plan,7915,Success,13920
1162,51:21.2,TC0002_PlannerB 2-14,/plan,17634,Success,56920
1163,51:37.2,TC0003_PlannerC 3-7,/plan,1633,Success,13920
1164,51:37.4,TC0003_PlannerC 3-9,/plan?wicket:interface=:3:indicator:big-form:sg-editor:mo:aspect:context:container:creationDiv:level::IBehaviorListener:0:-1&random=0.6389264980464004,1465,Success,21957
1165,51:37.1,TC0003_PlannerC 3-11,/plan,1749,Success,13920
1166,51:37.0,TC0001_PlannerA 1-15,/plan,1853,Success,13920
1167,51:37.2,TC0001_PlannerA 1-10,/plan,1727,Success,13920
1168,51:37.3,TC0003_PlannerC 3-15,/plan,1556,Success,13920
1169,51:31.8,TC0001_PlannerA 1-3,/plan,7091,Success,13341
1170,51:30.3,TC0001_PlannerA 1-6,/plan?wicket:interface=:1:indicator:big-form:segment:part:actor:name::IBehaviorListener:0:-1&random=0.5394079998653609,8653,Success,26142
1171,51:36.1,TC0001_PlannerA 1-19,/plan?wicket:interface=:1:indicator:big-form:segment:part:actor:name::IBehaviorListener:0:-1&random=0.5394079998653609,2849,Success,26145
1172,51:37.2,TC0002_PlannerB 2-4,/plan?wicket:interface=:3:indicator:big-form:segment:part:task::IBehaviorListener:0:-1&random=0.5962860213474035,1738,Success,30750
1173,51:31.9,TC0003_PlannerC 3-8,/plan,7097,Success,13920
1174,51:31.0,TC0003_PlannerC 3-3,/plan,7976,Success,13920
1175,51:38.9,TC0001_PlannerA 1-19,/plan,64,Success,9
1176,51:38.9,TC0001_PlannerA 1-6,/plan,70,Success,9
1177,51:34.4,TC0003_PlannerC 3-19,/plan?wicket:interface=:3:indicator:big-form:sg-editor:mo:aspect:context:container:creationDiv:level::IBehaviorListener:0:-1&random=0.6389264980464004,4616,Success,21957
1178,51:21.0,TC0002_PlannerB 2-15,/plan,18001,Success,50688
1179,51:37.2,TC0003_PlannerC 3-6,/plan,1832,Success,13920
1180,51:31.7,TC0001_PlannerA 1-12,/plan,7302,Success,42013
1181,51:23.8,TC0002_PlannerB 2-20,/plan?wicket:interface=:3:indicator:big-form:sg-editor:mo:aspect:goalsDiv:goal:0:organization:name::IBehaviorListener:0:-1&random=0.9689886339409747,15247,Success,55780
1182,51:28.5,TC0003_PlannerC 3-5,/plan,10538,Success,49527
1183,51:38.0,TC0002_PlannerB 2-5,/plan,1017,Success,16929
1184,51:34.7,TC0001_PlannerA 1-8,/plan,4358,Success,13926
1185,51:31.8,TC0003_PlannerC 3-18,/plan,7203,Success,13920
1186,51:37.2,TC0001_PlannerA 1-7,/plan,1783,Success,13920
1187,51:38.8,TC0001_PlannerA 1-5,/plan,212,Success,88
1188,51:29.1,TC0002_PlannerB 2-7,/plan,9960,Success,72452
1189,51:31.0,TC0001_PlannerA 1-16,/plan,8003,Success,71117
